vp_r,vp_t,vp_n,np,wp
405.98837,99.60916,1.8800709,113.58913,46.08771
368.6561,71.58328,-10.284663,158.4684,61.788597
383.18704,82.19929,2.7748919,148.37367,58.743675
369.4241,54.888767,35.94982,143.2574,60.824844
376.02966,64.67828,43.360153,144.31822,62.31769
369.9532,49.26165,39.32382,150.11476,69.05457
399.9602,56.952957,-84.71508,147.52441,65.548874
387.59995,88.17295,19.428213,142.7929,57.70084
393.35373,52.62179,-72.922195,152.42223,62.993355
370.0526,45.833168,-36.536438,146.19504,55.800217
377.77228,69.897484,51.98841,143.40999,63.604218
377.87906,61.607834,63.002415,138.02234,60.70786
374.44623,24.301981,5.9973865,124.16771,55.78128
372.5377,28.128357,-44.01859,137.22008,57.48148
404.4188,-12.404985,-4.7697887,126.668945,72.72351
376.39832,31.095846,-22.557428,129.08136,56.364506
364.7947,46.49863,-25.959192,145.33595,59.724262
372.78857,22.292963,-22.105251,130.99385,56.554565
395.833,62.212803,-80.09292,144.39436,67.2395
385.90833,14.724625,-56.434456,147.18683,60.521545
428.46182,76.2748,-75.41991,153.0363,80.97531
376.97598,40.619408,-61.214428,149.45601,60.593185
397.17712,90.15201,-23.209854,143.28076,59.852512
374.55032,71.47479,-35.58016,158.84395,63.313046
376.85516,44.99508,-58.13943,147.97757,57.529346
378.41214,78.393585,-20.145609,136.71693,54.496765
372.1428,64.34758,-3.8904438,137.35854,52.738594
369.96017,67.769165,-18.425917,145.81528,55.695633
385.21054,28.951496,-81.97206,140.47038,61.090385
379.15643,11.157154,-56.83675,135.02599,61.519493
366.69257,60.362057,18.416637,136.33798,56.11423
369.07205,45.93097,25.23051,130.6746,54.734924
422.72906,24.232164,58.291855,120.72632,76.63537
369.11673,66.46576,4.3787208,138.29546,54.628723
369.92944,53.884808,28.371044,128.33047,53.387028
371.54074,48.0411,-27.471539,130.09067,52.275932
372.99753,61.014347,35.078682,128.50034,52.750645
375.92932,77.447136,-17.73343,141.74669,57.262802
392.3958,91.61152,16.294596,146.61005,61.993793
404.77383,94.71993,45.410862,123.09466,66.36636
407.594,108.81472,-11.918615,141.37135,68.03523
404.10443,101.985565,0.12527373,145.5293,67.82877
429.31644,110.63066,-4.0277195,146.31511,76.88793
418.82733,110.50351,10.3364105,145.18134,71.66287
396.68066,93.13569,-21.456573,139.52072,65.28509
378.2212,79.056564,31.749887,127.58895,53.135235
380.56744,7.65665,1.9121493,126.57395,57.531696
364.0113,40.373955,-24.968624,136.78052,53.95479
374.9716,50.03015,43.439747,129.4705,58.497616
380.37985,82.95314,34.624363,131.17883,56.751568
382.4793,86.85575,-22.534683,147.64699,65.51426
382.3485,71.915504,-18.809286,138.81242,55.723064
374.93893,80.38291,-10.038778,128.8456,52.143486
364.8743,73.1625,-13.2314,144.02213,61.00807
374.4079,85.04152,2.9395597,137.04689,58.65355
345.36295,60.92994,22.522097,133.88474,63.67042
345.03552,-41.96269,-18.112177,127.914085,62.47781
332.84857,-9.525438,-63.374714,123.28372,56.25678
352.81458,-12.434149,-70.001915,140.97166,78.237595
408.94852,-85.02156,-52.404594,128.6653,79.20603
363.5856,6.131387,-25.807735,161.06543,70.85345
378.14194,55.728214,35.33974,125.6011,54.606194
344.8862,31.482256,27.657011,137.72319,67.53189
362.02188,63.74681,96.466484,123.24113,74.51629
360.17044,75.4067,31.926418,124.37791,58.105396
376.2835,85.50609,196.09918,170.24838,76.462234
360.0537,38.033695,-8.922627,105.96866,52.863426
352.8926,41.740448,-30.458529,125.21337,56.06551
326.12482,63.781754,59.071846,126.77344,57.516636
328.08023,83.15036,62.885628,135.82686,66.266304
322.0479,59.76336,29.891922,132.8987,57.69274
327.3289,61.064392,-9.125547,134.57132,62.428055
345.27402,62.040382,-23.365416,88.98618,57.954773
333.65628,56.204826,13.051686,141.37907,63.130577
370.24808,82.65115,-122.25462,144.50679,74.831
337.737,62.592365,-36.247154,137.93507,64.009926
330.7417,38.45326,5.909164,120.09272,57.284805
329.36386,62.63839,-0.98945713,130.50696,58.10731
342.0969,88.729294,42.99481,135.07704,61.959866
340.21484,53.1511,63.441593,136.60544,58.315273
342.32358,66.628944,67.7071,124.8155,59.400246
338.7772,53.75978,44.949875,139.92476,64.35164
384.84894,83.8145,119.68045,126.72691,69.580025
